date,instrument,realized_range_atr,rth_ret_pct,on_ret_pct
2022-04-20,ES,0.6180932,-0.4857621,0.4148912
2022-04-26,ES,1.270136,-2.291508,-0.6347543
2022-04-27,ES,0.9649924,0.005981935,0.2699136
2022-04-28,ES,1.470167,1.312134,1.202297
2022-04-29,ES,1.707104,-2.704773,-0.9976081
2022-05-02,ES,1.161595,0.5936516,-0.01816971
2022-05-03,ES,0.5889548,0.3428778,0.1083946
2022-05-04,ES,1.706733,2.885191,0.1498711
2022-05-05,ES,1.51425,-2.505293,-1.070514
2022-05-06,ES,0.8298149,0.0607312,-0.6755942
2022-05-09,ES,0.8722467,-1.6829,-1.541636
2022-05-10,ES,0.951087,-1.358025,1.573766
2022-05-11,ES,0.9824917,-1.329987,-0.2503129
2022-05-13,ES,0.6299074,1.246616,1.094774
2022-05-16,ES,0.5242832,0.08118404,-0.4228593
2022-05-17,ES,0.5099408,0.4115985,1.572445
2022-05-18,ES,1.13187,-2.835387,-1.174671
2022-05-19,ES,0.5705072,0.225037,-0.9047467
2022-05-20,ES,1.161952,-0.9465125,0.9879394
2022-05-23,ES,0.6347067,1.042992,0.8401206
2022-05-24,ES,0.6967275,0.3882383,-1.107754
2022-05-25,ES,0.6682316,1.375796,-0.4628162
2022-05-26,ES,0.8157182,1.660713,0.2576024
2022-05-31,ES,0.6739493,-0.138956,-0.9455416
2022-06-01,ES,1.004027,-1.348017,0.5323976
2022-06-02,ES,1.006199,1.641645,-0.04270115
2022-06-03,ES,0.4996078,-0.424191,-0.9186431
2022-06-06,ES,0.6682316,-0.734984,1.01631
2022-06-07,ES,0.9615767,1.867728,-0.8921527
2022-06-08,ES,0.6586466,-0.6459792,-0.4268109
2022-06-09,ES,1.261097,-1.941629,-0.4800389
2022-06-14,ES,0.8432698,-0.7961783,0.4733018
2022-06-15,ES,1.372934,0.509765,0.9355455
2022-06-17,ES,0.7864029,0.07488087,-0.027222
2022-06-21,ES,0.5148448,0.8631649,0.5449408
2022-06-22,ES,0.9388013,0.9868421,-1.180841
2022-06-23,ES,0.6564377,0.3964321,0.6115801
2022-06-27,ES,0.4124531,-0.5917913,0.248788
2022-06-29,ES,0.399661,-0.2480418,0.1241749
2022-06-30,ES,0.8827441,0.3043939,-1.11242
2022-07-01,ES,0.8917498,1.243057,-0.224304
2022-07-05,ES,1.1479,1.616108,-1.022683
2022-07-06,ES,0.8146621,0.3323125,0.03259028
2022-07-07,ES,0.6676654,0.9762089,0.4546045
2022-07-08,ES,0.7118047,0.3729904,-0.4417696
2022-07-11,ES,0.4788732,-0.4001807,-0.7368016
2022-07-12,ES,1.026834,-0.7011166,-0.1749725
2022-07-13,ES,1.078599,0.9958837,-1.529812
2022-07-15,ES,0.7063534,0.6640625,1.205772
2022-07-18,ES,1.226804,-1.641868,0.8407709
2022-07-19,ES,1.135237,1.600206,1.056338
2022-07-20,ES,0.7361042,0.609369,0.05080655
2022-07-21,ES,1.050542,1.21373,-0.1955836
2022-07-25,ES,0.4552846,-0.03147624,0.1450006
2022-07-26,ES,0.6114017,-0.7526406,-0.4345088
2022-07-27,ES,1.301554,1.680354,0.879429
2022-07-28,ES,1.20936,1.02933,0.1925944
2022-08-01,ES,0.6641492,0.3593179,-0.6954944
2022-08-02,ES,0.8431703,-0.2375876,-0.3883731
2022-08-03,ES,0.7846004,1.002247,0.5312653
2022-08-04,ES,0.3695918,-0.06015761,-0.03006976
2022-08-05,ES,0.6591607,0.9250243,-1.089508
2022-08-09,ES,0.4061972,-0.2056369,-0.1931667
2022-08-12,ES,1.003191,1.181754,0.4630179
2022-08-15,ES,0.7311111,0.9569659,-0.5314179
2022-08-16,ES,0.7666386,0.4489534,-0.2616888
2022-08-17,ES,0.8587122,0.1698191,-0.8764801
2022-08-18,ES,0.5621415,0.2571596,0.02338361
2022-08-19,ES,0.7702113,-0.680911,-0.6878862
2022-08-23,ES,0.6441315,-0.1450326,-0.1387967
2022-08-24,ES,0.6866359,0.3693836,-0.06051803
2022-08-25,ES,1.004872,1.045987,0.361991
2022-08-26,ES,2.647078,-3.374397,-0.03569516
2022-08-30,ES,1.289163,-1.415853,0.2852183
2022-08-31,ES,0.9853024,-1.205045,0.4452807
2022-09-02,ES,1.790514,-2.015601,0.9766856
2022-09-06,ES,0.880719,-0.5846467,-0.057161
2022-09-07,ES,1.276861,1.887758,-0.1086679
2022-09-08,ES,0.9749104,1.276784,-0.6343424
2022-09-13,ES,1.626812,-2.164583,-2.237762
2022-09-14,ES,0.649925,0.01261432,0.3295885
2022-09-15,ES,0.9074758,-0.7157335,-0.4351391
2022-09-19,ES,0.864425,1.680073,-0.8936033
2022-09-20,ES,0.6705396,-0.2253557,-0.9186603
2022-09-21,ES,1.606123,-2.286155,0.4904491
2022-09-26,ES,0.9000664,-0.5687974,-0.4180715
2022-09-27,ES,1.189534,-1.280841,1.02152
2022-09-28,ES,1.191178,1.69607,0.2526632
2022-09-29,ES,0.8850854,-1.075996,-1.024782
2022-09-30,ES,0.9992708,-1.282931,-0.287317
2022-10-03,ES,1.046425,1.526508,1.070262
2022-10-05,ES,0.9616613,1.010907,-1.202444
2022-10-06,ES,0.6720664,-0.6480624,-0.4345536
2022-10-07,ES,0.9440698,-1.682935,-1.124867
2022-10-10,ES,0.6954873,-1.078351,0.3218076
2022-10-11,ES,0.7944211,-0.1387059,-0.5174555
2022-10-12,ES,0.391201,-0.4578246,0.1180638
2022-10-14,ES,1.401831,-2.919757,0.6925584
2022-10-17,ES,0.4102198,0.7577309,1.750365
2022-10-19,ES,0.6432161,-0.1346983,-0.5825243
2022-10-20,ES,0.8499814,-0.6958989,-0.1820879
2022-10-21,ES,1.190823,2.512597,-0.08164376
2022-10-25,ES,0.7267464,1.608139,-0.01968762
2022-10-26,ES,0.6935579,0.1237866,-0.8462532
2022-10-27,ES,0.626539,-0.7985457,0.227746
2022-10-28,ES,1.154163,2.41587,-0.03926702
2022-10-31,ES,0.3619238,-0.03861749,-0.6776194
2022-11-02,ES,1.573002,-2.371388,-0.1681759
2022-11-04,ES,1.126616,-0.1584681,1.610198
2022-11-07,ES,0.6377988,0.6063802,0.3372793
2022-11-08,ES,0.969909,0.2221206,0.2817086
2022-11-09,ES,0.9801294,-1.514456,-0.5736262
2022-11-10,ES,1.222018,1.714066,3.694581
2022-11-11,ES,0.696149,0.7428392,0.258773
2022-11-14,ES,0.6401709,-0.3578828,-0.474911
2022-11-16,ES,0.3673992,-0.3389405,-0.4498875
2022-11-17,ES,0.5916775,0.9956599,-1.322585
2022-11-18,ES,0.6215912,-0.4322767,0.872093
2022-11-21,ES,0.4125,-0.01263105,-0.3712326
2022-11-22,ES,0.6425277,0.8170962,0.4926731
2022-11-23,ES,0.5083897,0.7177183,-0.105985
2022-11-28,ES,0.9336039,-0.7999,-0.8365867
2022-11-29,ES,0.6577726,-0.1952633,0.01259922
2022-11-30,ES,2.411135,3.015583,0.03786683
2022-12-02,ES,1.090299,1.160482,-1.286449
2022-12-05,ES,1.275275,-1.081382,-0.723882
2022-12-06,ES,1.550428,-1.40625,-0.04997501
2022-12-07,ES,0.6490355,0.06355259,-0.2535658
2022-12-08,ES,0.7044586,0.2718078,0.4763417
2022-12-09,ES,0.8065658,-0.4048327,-0.3404148
2022-12-12,ES,0.9933185,1.216884,0.2095903
2022-12-14,ES,1.502816,-0.5553156,-0.1052884
2022-12-15,ES,1.133644,-1.232394,-1.321586
2022-12-19,ES,0.7471564,-0.9213918,0.05802334
2022-12-20,ES,0.5792893,0.3257966,-0.1950966
2022-12-21,ES,0.6951315,0.7673954,0.7144249
2022-12-22,ES,1.236168,-0.58102,-0.8703443
2022-12-23,ES,0.6867166,0.8663366,-0.3116883
2022-12-27,ES,0.4968459,-0.3617805,-0.03874717
2022-12-28,ES,1.029825,-1.225999,-0.04538676
2022-12-29,ES,0.7590587,0.9778995,0.7355356
2022-12-30,ES,0.5560305,0.4487513,-0.72955
2023-01-03,ES,1.180627,-0.9340376,0.5114924
2023-01-04,ES,0.7878934,0.1227707,0.6307302
2023-01-05,ES,0.4315188,-0.6164428,-0.5421104
2023-01-06,ES,1.449779,1.424409,0.8422565
2023-01-10,ES,0.6725711,0.8765195,-0.1596934
2023-01-11,ES,0.6391304,0.8149084,0.3995687
2023-01-12,ES,0.9272776,0.07500469,0.2506423
2023-01-13,ES,0.893617,1.247401,-0.8619074
2023-01-17,ES,0.5562347,-0.1990916,0.2119833
2023-01-18,ES,1.542191,-1.87096,0.2929992
2023-01-19,ES,0.646283,-0.1593168,-0.6017609
2023-01-20,ES,1.364259,1.475921,0.3319078
2023-01-23,ES,1.188441,0.9758539,0.219422
2023-01-24,ES,0.6148649,0.3111,-0.4336513
2023-01-25,ES,1.28481,1.128527,-1.066865
2023-01-26,ES,0.8585516,0.3880266,0.6571606
2023-01-27,ES,0.8735632,0.4983082,-0.2699552
2023-01-30,ES,0.9086651,-0.524109,-0.722331
2023-01-31,ES,1.072655,1.325324,0.08677865
2023-02-01,ES,2.097258,1.391699,-0.3056048
2023-02-02,ES,0.9438682,0.4552261,0.9493288
2023-02-03,ES,0.9892216,0.1750996,-1.246199
2023-02-06,ES,0.5160193,0.03639672,-0.6389006
2023-02-07,ES,1.410974,1.556799,-0.2850039
2023-02-08,ES,0.7327176,-0.5898285,-0.508982
2023-02-09,ES,1.373614,-1.764494,0.8778834
2023-02-10,ES,0.5294601,0.5271546,-0.329912
2023-02-13,ES,0.7669044,1.004383,0.1707317
2023-02-14,ES,1.042135,0.3570132,-0.4037847
2023-02-15,ES,0.7326733,0.8915575,-0.5848658
2023-02-16,ES,0.7673956,-0.09747182,-1.322513
2023-02-22,ES,0.7221007,-0.2182589,0.06864275
2023-02-23,ES,1.095176,-0.2420256,0.7062059
2023-02-27,ES,0.8139535,-0.5485942,0.8677608
2023-02-28,ES,0.5891319,-0.269914,-0.1379051
2023-03-01,ES,0.640273,-0.1513718,-0.2077039
2023-03-03,ES,1.088724,1.104869,0.4703669
2023-03-07,ES,1.444966,-1.524221,-0.02467765
2023-03-08,ES,0.6190808,0.1315707,0.01879935
2023-03-09,ES,2.242644,-2.054966,0.1751971
2023-03-14,ES,1.067762,0.2622322,1.341716
2023-03-15,ES,0.9221735,0.9766754,-1.549219
2023-03-16,ES,1.580075,2.40323,-0.7063315
2023-03-17,ES,0.8808487,-0.8413914,-0.3316853
2023-03-20,ES,0.6192681,0.7586294,0.1646403
2023-03-22,ES,1.480795,-1.653968,-0.06809459
2023-03-23,ES,1.221039,-0.5192043,0.6928697
2023-03-24,ES,0.8659289,1.009464,-0.3332705
2023-03-27,ES,0.4334081,-0.3912072,0.587133
2023-03-28,ES,0.379656,-0.02498595,-0.1994888
2023-03-29,ES,0.387178,0.3523303,1.080912
2023-04-03,ES,0.4626028,0.508167,-0.1329145
2023-04-04,ES,0.7848407,-0.7211105,0.1625135
2023-04-05,ES,0.4898083,-0.06674757,-0.248169
2023-04-06,ES,0.7242991,0.6025196,-0.2307365
2023-04-10,ES,0.7525844,0.7733057,-0.6473079
2023-04-11,ES,0.4461379,-0.1086366,0.1148036
2023-04-12,ES,0.9693878,-0.9018217,0.4954383
2023-04-13,ES,1.171315,1.041099,0.2305406
2023-04-17,ES,0.7209,0.3905311,-0.05404432
2023-04-19,ES,0.7252939,0.4809426,-0.4965006
2023-04-20,ES,0.8943015,0.1748568,-0.7718081
2023-04-21,ES,0.6477987,0.006015761,0.05417118
2023-04-24,ES,0.6775276,0.1685326,-0.06015399
2023-04-25,ES,1.408124,-1.08735,-0.5287826
2023-04-26,ES,1.068404,-0.5855444,0.1282521
2023-04-27,ES,1.542048,1.329349,0.6135346
2023-04-28,ES,1.095601,1.085776,-0.2346994
2023-05-02,ES,1.676262,-0.9516399,-0.1851962
2023-05-03,ES,1.375594,-0.8209586,0.1027252
2023-05-04,ES,0.7915194,-0.4395336,-0.2982349
2023-05-05,ES,1.148177,0.9053348,0.913606
2023-05-08,ES,0.4074209,-0.03610326,0.07225869
2023-05-09,ES,0.2946824,-0.02418087,-0.4273762
2023-05-10,ES,1.197162,-0.2462315,0.6832749
2023-05-11,ES,0.5158701,0.0603646,-0.2649007
2023-05-12,ES,0.9427951,-0.4271191,0.2835425
2023-05-15,ES,0.6343519,0.2051653,0.1208313
2023-05-16,ES,0.5438402,-0.3865668,-0.301096
2023-05-17,ES,1.123164,0.6877828,0.5032743
2023-05-18,ES,1.115385,1.055852,-0.1198394
2023-05-22,ES,0.6605293,0.02973005,0.0
2023-05-23,ES,1.055947,-0.7104053,-0.4279855
2023-05-24,ES,0.7011785,-0.3200483,-0.4329004
2023-05-25,ES,0.8975116,-0.0180256,0.8238929
2023-05-26,ES,1.405041,1.134113,0.1502404
2023-05-31,ES,0.7497805,-0.08343763,-0.480427
2023-06-01,ES,1.491803,0.8947211,0.0
2023-06-06,ES,0.5785124,0.3332944,-0.1168088
2023-06-07,ES,0.8208092,-0.4251354,0.06993415
2023-06-08,ES,0.901313,0.5909889,-0.0467891
2023-06-12,ES,0.8886087,0.672152,0.2206736
2023-06-14,ES,1.356514,0.02263211,0.04563831
2023-06-15,ES,1.873627,1.463166,-0.2545537
2023-06-16,ES,0.9899219,-0.8125104,0.4359734
2023-06-20,ES,0.7945137,-0.02254791,-0.2978699
2023-06-21,ES,0.6360059,-0.2826775,-0.270636
2023-06-22,ES,0.7579964,0.5854934,-0.2608005
2023-06-23,ES,0.7013543,0.09689922,-0.8533484
2023-06-26,ES,0.8975429,-0.2680812,-0.1651387
