date,instrument,realized_range_atr,rth_ret_pct,on_ret_pct
2022-03-14,SPY,0.8353829,-0.9454131,0.2166306
2022-03-15,SPY,0.8117817,1.551256,0.6378897
2022-03-17,SPY,0.8108467,1.739211,-0.479776
2022-03-18,SPY,0.800479,1.532628,-0.7391117
2022-03-23,SPY,0.521312,-0.6936675,-0.5983229
2022-03-24,SPY,0.6395768,1.047508,0.45516
2022-03-28,SPY,0.7099515,0.8561189,-0.1435861
2022-03-30,SPY,0.6473988,-0.3454344,-0.2729932
2022-03-31,SPY,1.013176,-1.371419,-0.1700458
2022-04-01,SPY,0.6129722,-0.08382969,0.3675494
2022-04-04,SPY,0.6820896,0.7943513,0.06182107
2022-04-05,SPY,1.261945,-0.9226105,-0.3436953
2022-04-07,SPY,1.16776,0.6955819,-0.190361
2022-04-08,SPY,0.7689769,-0.1049013,-0.1626668
2022-04-11,SPY,0.938015,-0.94346,-0.7730634
2022-04-12,SPY,1.485071,-1.067672,0.7046736
2022-04-13,SPY,0.9764699,1.221573,-0.07529261
2022-04-14,SPY,1.114562,-1.27413,0.02932485
2022-04-18,SPY,0.6349311,0.2839283,-0.2421252
2022-04-19,SPY,1.269237,1.637472,-0.02283261
2022-04-20,SPY,0.6272663,-0.5011746,0.4291749
2022-04-26,SPY,1.27418,-2.305597,-0.60442
2022-04-27,SPY,0.9701329,-0.02635488,0.3076184
2022-04-28,SPY,1.472911,1.335955,1.1743
2022-04-29,SPY,1.716269,-2.729247,-0.9934317
2022-05-02,SPY,1.155978,0.5995,0.002427184
2022-05-03,SPY,0.5800082,0.3542937,0.1037445
2022-05-04,SPY,1.707814,2.86002,0.1801239
2022-05-05,SPY,1.551567,-2.536624,-1.044143
2022-05-06,SPY,0.8300974,0.04377858,-0.6403905
2022-05-09,SPY,0.8777152,-1.734946,-1.492682
2022-05-10,SPY,0.9574248,-1.337454,1.589773
2022-05-11,SPY,0.9834711,-1.316616,-0.2756271
2022-05-13,SPY,0.6262351,1.257782,1.118927
2022-05-16,SPY,0.5237955,0.01249875,-0.4182017
2022-05-17,SPY,0.4936856,0.4452535,1.604639
2022-05-18,SPY,1.124772,-2.889572,-1.175549
2022-05-19,SPY,0.5775918,0.2161495,-0.8268259
2022-05-20,SPY,1.160617,-0.8575064,0.9089509
2022-05-23,SPY,0.6320162,1.041163,0.821292
2022-05-24,SPY,0.6931911,0.3490268,-1.108536
2022-05-25,SPY,0.6621175,1.276889,-0.3884333
2022-05-26,SPY,0.8186243,1.662988,0.3296676
2022-05-31,SPY,0.6296984,-0.1185235,-0.4430959
2022-06-01,SPY,0.9452119,-1.351156,0.54973
2022-06-02,SPY,1.076923,1.906831,-0.002441466
2022-06-03,SPY,0.469123,-0.4679128,-1.178754
2022-06-06,SPY,0.6408974,-0.7160768,1.027914
2022-06-07,SPY,0.9124886,1.864602,-0.8888025
2022-06-08,SPY,0.5740923,-0.6547001,-0.4353683
2022-06-09,SPY,1.203244,-1.934727,-0.4523126
2022-06-14,SPY,0.7921983,-0.7881329,0.4906667
2022-06-15,SPY,1.295205,0.4955874,0.9254554
2022-06-17,SPY,0.736869,0.1176696,-0.3327424
2022-06-21,SPY,0.4923651,0.8523797,1.650905
2022-06-22,SPY,0.8643289,1.000863,-1.170448
2022-06-23,SPY,0.6042872,0.3636943,0.6143326
2022-06-24,SPY,0.9184472,2.267782,0.8913929
2022-06-27,SPY,0.4003794,-0.6468603,0.266612
2022-06-29,SPY,0.3863424,-0.2151328,0.1339813
2022-06-30,SPY,0.8233196,0.2604513,-1.070095
2022-07-01,SPY,0.8139354,1.232076,-0.1722995
2022-07-05,SPY,0.9654805,1.585106,-1.374462
2022-07-06,SPY,0.7060152,0.3088439,0.02879883
2022-07-07,SPY,0.5356343,1.004882,0.4879322
2022-07-08,SPY,0.59258,0.3900196,-0.4704491
2022-07-11,SPY,0.4387817,-0.4353347,-0.710114
2022-07-12,SPY,0.9495237,-0.7376323,-0.1483486
2022-07-13,SPY,0.9938229,0.997094,-1.507234
2022-07-15,SPY,0.6415819,0.6560033,1.246328
2022-07-18,SPY,1.204467,-1.627733,0.8153091
2022-07-19,SPY,1.020231,1.579615,1.104857
2022-07-20,SPY,0.7260156,0.5783439,0.05863308
2022-07-21,SPY,0.9878092,1.179784,-0.1595866
2022-07-25,SPY,0.4531644,-0.03790559,0.1594573
2022-07-26,SPY,0.604758,-0.7490351,-0.4373436
2022-07-27,SPY,1.311284,1.675836,0.9056256
2022-07-28,SPY,1.213313,1.052658,0.1994813
2022-08-01,SPY,0.6644853,0.3934891,-0.6869099
2022-08-02,SPY,0.8375336,-0.2371464,-0.4235947
2022-08-03,SPY,0.7790831,0.9868421,0.5734451
2022-08-04,SPY,0.3620096,-0.01931201,-0.04825673
2022-08-05,SPY,0.6552577,0.9251123,-1.084096
2022-08-09,SPY,0.4024085,-0.2304147,-0.1670743
2022-08-12,SPY,1.008891,1.184553,0.5023929
2022-08-15,SPY,0.7341234,0.9771373,-0.5595879
2022-08-16,SPY,0.7654767,0.4864132,-0.2891386
2022-08-17,SPY,0.8533858,0.1666901,-0.8750291
2022-08-18,SPY,0.5589935,0.2600872,0.03046994
2022-08-19,SPY,0.7638082,-0.6425495,-0.7057889
2022-08-23,SPY,0.6434245,-0.1477141,-0.09435103
2022-08-24,SPY,0.6893623,0.3809755,-0.06062811
2022-08-25,SPY,1.000196,1.021022,0.3867817
2022-08-26,SPY,2.645315,-3.373385,-0.01191867
2022-08-30,SPY,1.279413,-1.396558,0.3030077
2022-08-31,SPY,0.9851409,-1.185237,0.4294217
2022-09-02,SPY,1.789372,-2.01349,0.9787599
2022-09-06,SPY,0.8461008,-0.602854,0.2269019
2022-09-07,SPY,1.232677,1.898199,-0.09980551
2022-09-08,SPY,0.957569,1.246681,-0.5857509
2022-09-09,SPY,0.6902906,0.9509149,0.5969329
2022-09-13,SPY,1.599346,-2.126282,-2.270239
2022-09-14,SPY,0.6241723,0.02027781,0.3612312
2022-09-15,SPY,0.8758398,-0.7050319,-0.4333502
2022-09-19,SPY,0.8165919,1.642818,-0.8533043
2022-09-20,SPY,0.6196142,-0.2622695,-0.8879166
2022-09-21,SPY,1.511797,-2.245765,0.5129006
2022-09-26,SPY,0.8873762,-0.5731285,-0.4185351
2022-09-27,SPY,1.161881,-1.258118,1.015619
2022-09-28,SPY,1.172312,1.671057,0.2917057
2022-09-29,SPY,0.8741153,-1.101328,-0.9985696
2022-09-30,SPY,1.0067,-1.296046,-0.2535902
2022-10-03,SPY,1.037366,1.52027,1.103085
2022-10-05,SPY,0.9531676,1.009857,-1.230256
2022-10-06,SPY,0.6698937,-0.6522028,-0.3818717
2022-10-07,SPY,0.9514673,-1.698911,-1.109325
2022-10-10,SPY,0.7025321,-1.093407,0.3335263
2022-10-11,SPY,0.7938033,-0.1562936,-0.4777512
2022-10-12,SPY,0.3923868,-0.4328279,0.1034271
2022-10-14,SPY,1.406775,-2.96033,0.7022434
2022-10-17,SPY,0.4046828,0.7774939,1.778374
2022-10-19,SPY,0.6374231,-0.1300884,-0.5793118
2022-10-20,SPY,0.8434997,-0.7226886,-0.1166893
2022-10-21,SPY,1.184405,2.514311,-0.08209956
2022-10-25,SPY,0.7125487,1.637093,-0.03959142
2022-10-26,SPY,0.6892512,0.0864576,-0.8391354
2022-10-27,SPY,0.6273611,-0.8118197,0.28009
2022-10-28,SPY,1.149742,2.403327,-0.02368546
2022-10-31,SPY,0.354912,-0.07244689,-0.6503522
2022-11-02,SPY,1.565775,-2.367434,-0.1456361
2022-11-04,SPY,1.124106,-0.1724138,1.614512
2022-11-07,SPY,0.646055,0.5957109,0.3587086
2022-11-08,SPY,0.9829222,0.2493111,0.2895118
2022-11-09,SPY,0.9884518,-1.534372,-0.5340314
2022-11-10,SPY,1.230438,1.698016,3.733996
2022-11-11,SPY,0.6897262,0.7355915,0.2305607
2022-11-14,SPY,0.6471813,-0.3982859,-0.4541919
2022-11-16,SPY,0.355204,-0.347756,-0.4165726
2022-11-17,SPY,0.5898237,0.9603319,-1.254267
2022-11-18,SPY,0.6105639,-0.4149065,0.8725649
2022-11-21,SPY,0.3876356,-0.03293474,-0.330783
2022-11-22,SPY,0.6464475,0.8168205,0.5245951
2022-11-23,SPY,0.517011,0.7157874,-0.08502126
2022-11-28,SPY,0.9030719,-0.7769229,-0.8251932
2022-11-29,SPY,0.6174988,-0.1944444,0.02273244
2022-11-30,SPY,2.288314,3.118756,0.03036207
2022-12-02,SPY,1.040473,1.186154,-1.286268
2022-12-05,SPY,1.229969,-1.069545,-0.7372638
2022-12-06,SPY,1.453052,-1.419274,-0.02252309
2022-12-07,SPY,0.6351443,0.06872153,-0.2386817
2022-12-08,SPY,0.6716123,0.3088451,0.4730898
2022-12-09,SPY,0.7826523,-0.4329224,-0.3154654
2022-12-12,SPY,0.9740815,1.233221,0.2059601
2022-12-14,SPY,1.449265,-0.5453323,-0.09453442
2022-12-15,SPY,1.105382,-1.206927,-1.254382
2022-12-19,SPY,0.7398998,-0.884171,0.03652777
2022-12-20,SPY,0.5750811,0.3322084,-0.1947266
2022-12-21,SPY,0.6843059,0.7538999,0.7357965
2022-12-22,SPY,1.227682,-0.6290293,-0.8026306
2022-12-23,SPY,0.6762569,0.8560291,-0.2784198
2022-12-27,SPY,0.4862033,-0.3709315,-0.02350422
2022-12-28,SPY,1.023441,-1.24279,0.0
2022-12-29,SPY,0.7450961,1.006269,0.7858546
2022-12-30,SPY,0.5674842,0.4623427,-0.7224077
2023-01-03,SPY,1.169223,-0.9467825,0.5308161
2023-01-04,SPY,0.7796931,0.1409112,0.630219
2023-01-05,SPY,0.4295852,-0.6234283,-0.5211591
2023-01-06,SPY,1.426845,1.448215,0.832938
2023-01-10,SPY,0.6683015,0.8651189,-0.1624297
2023-01-11,SPY,0.6521331,0.859365,0.4019663
2023-01-12,SPY,0.9298044,0.08320097,0.2806432
2023-01-13,SPY,0.888594,1.232059,-0.8338372
2023-01-17,SPY,0.5230479,-0.1631444,-0.02007528
2023-01-18,SPY,1.491914,-1.867449,0.2941398
2023-01-19,SPY,0.6031062,-0.149016,-0.579836
2023-01-20,SPY,1.25158,1.520708,0.3370729
2023-01-23,SPY,1.135113,0.9932189,0.2046075
2023-01-24,SPY,0.559455,0.3309266,-0.436812
2023-01-25,SPY,1.213617,1.118913,-1.069465
2023-01-27,SPY,0.7924212,0.5004211,-0.269302
2023-01-30,SPY,0.8615798,-0.5363128,-0.7222441
2023-01-31,SPY,1.039376,1.346365,0.1223196
2023-02-01,SPY,1.993556,1.379532,-0.3124385
2023-02-03,SPY,0.9446715,0.1822157,-1.242862
2023-02-06,SPY,0.5119301,0.01464236,-0.6256821
2023-02-07,SPY,1.416856,1.523376,-0.2122831
2023-02-08,SPY,0.7306627,-0.6123239,-0.4841157
2023-02-09,SPY,1.37395,-1.785327,0.9351029
2023-02-10,SPY,0.5304146,0.5396082,-0.3046009
2023-02-13,SPY,0.7616062,1.017936,0.1543966
2023-02-14,SPY,1.036578,0.3282356,-0.3730349
2023-02-15,SPY,0.7192273,0.8772357,-0.5476929
2023-02-16,SPY,0.7625797,-0.112541,-1.265762
2023-02-17,SPY,0.5453269,0.2807052,-0.5290487
2023-02-22,SPY,0.6418365,-0.2527844,0.1152622
2023-02-23,SPY,1.008134,-0.1669449,0.7000552
2023-02-27,SPY,0.7709646,-0.5451227,0.8905596
2023-02-28,SPY,0.524541,-0.2492133,-0.1206849
2023-03-01,SPY,0.6005538,-0.1795423,-0.2044112
