date,instrument,direction,inside_day,b5_origin,rev10,rev20,rev30,rev40,dist_atr,vol_ratio,prevday_body,poc_dist_atr,on_ret_pct
2022-10-24,SPY,1,0,2,0,0,0,0,0.06328637,0.985725,0.816726,0.9440217,0.4408346
2022-11-01,SPY,1,1,2,2,2,2,2,0.0245614,0.7559972,-0.0896,0.4128655,1.014992
2022-11-03,SPY,-1,0,2,0,0,1,1,0.4080211,1.042956,-0.6591733,-1.354915,-0.9256542
2022-11-15,SPY,1,0,2,2,2,2,2,0.1079755,0.8956602,-0.2964353,0.7791411,1.510933
2022-12-01,SPY,1,0,2,0,2,2,1,0.1556815,1.268621,0.8689218,0.1526586,0.2771782
2022-12-13,SPY,1,0,2,0,2,2,2,0.1949194,2.119976,0.8788427,2.325354,2.79985
2022-12-16,SPY,-1,0,2,2,0,0,0,0.3349606,1.618509,-0.6463001,-1.352023,-1.196006
2023-01-09,SPY,1,0,2,0,0,0,1,0.1825797,0.9018925,0.5664622,1.436887,0.5540095
2023-01-26,SPY,1,0,2,2,2,1,1,0.004191617,1.007056,0.6213184,0.4476647,0.6769077
2023-02-02,SPY,1,0,2,0,0,0,0,0.01803384,1.343268,0.4960071,2.159143,0.9810127
2023-02-21,SPY,-1,0,2,0,0,0,0,0.01927512,0.9671054,0.3313953,-1.391021,-1.023916
2023-02-24,SPY,-1,0,2,0,2,1,1,0.2525983,1.525474,-0.1127946,-0.7439538,-1.295363
2023-03-02,SPY,-1,0,2,2,2,2,2,0.1251167,1.032801,-0.2151515,-0.8944911,-0.5167959
2023-03-06,SPY,1,0,2,0,1,1,1,0.2197889,1.084932,0.8542435,2.075989,0.2201935
2023-03-10,SPY,-1,0,1,0,2,2,2,0.3386594,2.595967,-0.7442922,-1.723598,-0.1430177
2023-03-13,SPY,-1,0,2,2,2,2,2,0.5050201,2.731078,-0.5757919,-2.858414,-1.031329
2023-03-21,SPY,1,1,2,2,1,1,1,0.1511024,0.7885992,0.729064,1.062034,0.9041499
2023-03-30,SPY,1,0,2,2,1,1,1,0.168582,0.6994511,0.5347222,1.005196,0.6627632
2023-03-31,SPY,1,0,2,0,0,0,0,0.1634299,0.9907402,-0.1196911,1.329725,0.2130295
2023-04-14,SPY,1,0,1,2,2,2,2,0.1117884,0.7962222,0.8362573,1.251309,-0.1692989
2023-04-18,SPY,1,1,2,2,2,1,1,0.06958374,0.6768814,0.5252174,1.558179,0.3986085
